title,company,salary,city,experience,education,hr_name,hr_title,url,description
AI Agent 应用工程师,新澜控股,26-31K,淄博,,本科,"新澜控股
·
人资经理",BOSS直聘严禁用人单位和招聘者用户做出任何损害求职者合法权益的违法违规行为，包括但不限于扣押求职者证件、收取求职者财物、向求职者集资、让求职者入股、诱导求职者异地入职、异地参加培训、违法违规使用求职者简历等，您一旦发现此类行为， 请立即举报,https://www.zhipin.com/job_detail/30c62ed2d6756c590nd829q0EVpR.html,"1. 与资深运营团队深度配合，将复杂的电商业务逻辑（广告、客服等）转化为高效、自动化的AI Agent工作流，构建公司未来的“数字分⾝”团队  ；
2. 利⽤n8n/Make/Langflow等低代码⼯具或Python，编排全自动电商工作流 ；
3. 针对电商⼯作流，开发并优化基于LLM的智能Agent，包括精准的Prompt调优和RAG（检索增强生成）知识库搭建  ；
4. 负责打通CRM系统、各社媒平台API以及内部数据库，实现数据无缝流转；
5. 监控AI链路的运行成本与准确率，解决Agent在高并发场景下的“幻觉”或流程中断问题  。
任职要求：
1. 本科及以上学历，计算机相关专业；
2. 1-3年开发经验，精通Python，熟悉常用AI框架（如LangChain、Llamalndex）  ；
3. 有实际的AIAgent或自动化项目落地经验（需在简历中展示具体的工作流案例）；
4. 熟练操作GitHub、Docker以及各种低代码自动化工具  ；
5. 对电商有基础认知，能理解运营需求并转化为技术语言。
刘女士
刚刚活跃
新澜控股
·
人资经理"
AI Agent开发工程师,欧倍尔软件山东分公司,9-24K,淄博,,本科,·,HR,https://www.zhipin.com/job_detail/2d1d98d348d5c9310ndy39y-ElBQ.html,"大模型算法
推荐算法
Python
1、参与AI平台或系统的全栈开发，包括前端（VUE）界面实现和后端（Python）接口设计及开发，确保前后端联调顺畅。
2、负责AI模型推理/训练平台/数据构建与标注系统的开发集成工作，对接大模型（如LLM）API、模型微调平台、RAG等系统。
3、根据产品需求，独立完成功能模块的设计、开发、测试、部署与优化，确保代码质量和系统性能。
4、与产品经理、算法⼯程师等协同合作，⽀持AI应⽤的快速上线与持续迭代，如AI问答、智能体、多模态应用等。
5、编写和维护技术文档、接口⽂档、测试用例及部署脚本，参与项目部署上线及运维支持工作。
6、积极参与技术架构优化和技术选型，推进项目稳定性、性能、可维护性与可扩展性。
7、跟踪AI开发相关的新技术趋势，提升系统智能化水平与用户体验。
岗位要求：
1、本科及以上学历，计算机、软件工程、人工智能等相关专业；
2、熟练掌握 Python 后端开发语言，熟悉 Flask / FastAPI / Django 等至少一种框架；
3、熟悉 Vue.js 前端开发框架，能够独立完成前端页面构建与组件封装；
4、熟悉常见的 Web 前后端通信机制，如 RESTful API、WebSocket、跨域请求等；
5、熟悉数据库开发，掌握 MySQL、PostgreSQL、MongoDB、Redis 等数据库/缓存技术；
6、有基本的 Linux命令行操作、Docker容器化部署、Git版本控制经验；
7、理解前后端分离开发流程，具备良好的代码规范和单元测试习惯；
8、具备良好的团队协作能力、项目owner意识，能够主动沟通协调解决问题、完成模块开发、部署及问题排查；
9、热爱技术，具备较强的学习能力和技术敏锐度，拥有拥抱开放姿态、乐于探索AI相关新技术；
10、有责任心，能承担工作压力，能独立完成任务。
有AI/大模型相关经验优先
1、有集成调用 OpenAI / LLaMA / ChatGLM / Claude / Mistral 等大模型 API 的经验；
2、熟悉 LangChain / LlamaIndex / RAG 框架的开发流程优先；
3、有 AI 智能问答系统、AIGC 应用、教育垂直模型落地项目经验优先；
4、熟悉 prompt engineering、embedding、向量检索（如 FAISS/Milvus）等概念优先。
5、能够熟练使用Vibe Coding，并且有Vibe Coding构建完整项目经验者可酌情放低其他技术要求。
陈女士
刚刚活跃
欧倍尔软件山东分公司
·
HR"
AI Agent 产品经理,云拓互动,9-24K,淄博,,大专,·,人事专员,https://www.zhipin.com/job_detail/52693bcc090a2a1d0nZ-09i_FVdT.html,"工作职责:
1.负责政府项目全周期管理工作，数字化产品策略产出和配合业务人员讲解;
2.负责⽤户触点+AI相关数字化产品技术规划，⽅案输出;
3.有较强的沟通、协调、把控项⽬执行能力，能够与客户沟通项⽬、服务客户，有临场应对能力和协调能。
任职要求:
1.本科及以上学历，计算机、软件工程及相关专业,具有3年以上项目管理经验，有大项目和多项目乙方管理经验，对有政府，汽车行业背景优先;
2.熟悉项目管理、软件工程、质量管理、敏捷开发等相关知识；
3.熟悉ai项目开发过程和原理，有agent开发经验
4.有产品策划能力；
5.具备pmp证书或项目管理师证书者优先;
6.有一定的开发经验，能为团队与客户建立桥梁。具备团队领导能力、写作能力、人际沟通协调能力、执行能力、逻辑思维能力、分析解决问题的能力。
郑女士
刚刚活跃
云拓互动
·
人事专员"
后端开发工程师,华享健康,21-24K,淄博,,本科,·,人事经理,https://www.zhipin.com/job_detail/3ff856c2d65e3d9d0ndy2tm7F1FX.html,"PyTorch
MySQL
架构设计经验
Python
会Python
1. 负责基于大模型(LLM)的AIAgent、Skills系统开发与应用落地；
2. 设计和实现RAG(检索增强生成)架构，构建企业知识库；
3. 开发和优化智能体工作流、多Agent协作、⼯具调⽤能⼒；
4. 进行Prompt Engineering、Agent策略优化与效果提升；
5. 负责公司后端服务开发、优化及维护工作，保障系统的稳定性、⾼可用性与高性能；
6. 熟练运用AI技术完成业务需求开发，参与AI模型的集成、部署、调优及后端接口开发，实现AI能力与业务系统的深度融合；
任职要求
1. 学历要求：计算机、软件工程、电子信息等相关专业本科及以上学历；
2. 工作经验：5年及以上软件技术开发后端工作经验
3. 熟练掌握Python，具备良好的工程能力。
4. 熟悉LLM应用开发与AIAgent架构。
5. 熟悉RAG技术体系，有知识库构建经验。
6. 熟悉至少一种Agent开发框架(LangChain/Llamalndex / AutoGen / LangGraph 等) 。
7. 熟悉向量数据库和检索系统(Milvus/FAISS/Qdrant等)。
薪资待遇
1. 福利保障：五险、带薪年假、法定节假日、节日福利、定期团建、晋升通道完善；
2.工作时间：8:30-12：00；13:30-18:00；单休
秦海春
刚刚活跃
华享健康
·
人事经理"
销售经理（AI相关）,邦赢集团,21-26K,淄博,,本科,"邦赢集团
·
行政人力总监",BOSS直聘严禁用人单位和招聘者用户做出任何损害求职者合法权益的违法违规行为，包括但不限于扣押求职者证件、收取求职者财物、向求职者集资、让求职者入股、诱导求职者异地入职、异地参加培训、违法违规使用求职者简历等，您一旦发现此类行为， 请立即举报,https://www.zhipin.com/job_detail/efe5f20a37a868310nZy09W4ElRS.html,"软件/信息化服务销售经验
B端市场开发经验
电话销售经验
软件/SaaS
互联网/科技
岗位名称：to B 商务销售（AI-agent直销/合伙人）
一、核心定位
聚焦教培机构商家，以AI-agent相关增值产品为核心，负责商家获客运营赋能+产品直销，兼顾客户价值提升与业绩达成。
1. 对接教培机构商家，深度了解其店铺获客痛点与运营需求，提供针对性运营指导，助⼒商家提升获客效率、优化运营模式，最⼤化店铺运营价值；
2. 负责公司增值产品（GEO、AI客服、AI内容机器人等）的推广与直销⼯作，涵盖客户挖掘、需求对接、产品演示、谈判签约全流程，达成既定销售目标；
3. 维护现有教培客户关系，跟进客户后续使用反馈，推动产品续费与增购，搭建稳定的客户合作体系；
三、我们寻找这样的你
1. 1年及以上To B产品销售或相关运营经验，有小程序、AI-agent、小红书/抖音代运营、教培行业企业服务相关经验者优先；
2. 执行力强，具备快速学习与逻辑理解能力，能快速掌握AI-agent相关产品核心优势，精准响应教培客户需求并推动方案落地；
3. 具备良好的沟通表达、谈判能力与客户服务意识，能独立对接客户、推进销售流程，抗压性强；
4. 有明确的业绩目标感，愿意深耕To B企业服务领域，有合伙人意识、想长期发展者优先。
四、我们为你提供
1. 完善薪酬体系：基础薪资+绩效奖金+岗位补贴+高额销售提成（上不封顶），月均收入10-15K，业绩突出者可突破上限，多劳多得；
2. 友好工作模式：9:00–18:00（含1.5小时午休，日有效工作时长7.5小时），周末单双休轮换。
五、加分项
- 有教培机构客户资源、熟悉教培行业获客运营逻辑者；
- 有AI类产品销售、企业端直销或客户成功相关经验者；
- 具备方案撰写、产品演示能力，能独立对接大客户者。
如果你想深耕To B企业服务，想借助AI风口实现个人成长与收入提升，欢迎加入我们，共赴新机遇！
孙先生
刚刚活跃
邦赢集团
·
行政人力总监"
AI agent开发,深圳中迎祈安科技,6-21K,淄博,,本科,,BOSS直聘严禁用人单位和招聘者用户做出任何损害求职者合法权益的违法违规行为，包括但不限于扣押求职者证件、收取求职者财物、向求职者集资、让求职者入股、诱导求职者异地入职、异地参加培训、违法违规使用求职者简历等，您一旦发现此类行为， 请立即举报,https://www.zhipin.com/job_detail/ef459d9730e023970nV82tS4FVpV.html,"Java
搜索算法
规控算法
图像算法
深度学习
大模型算法
自然语言处理算法
嵌入式开发
SQL
C/C++
机器学习
SLAM算法
Python
1. 参与AI agent相关算法的设计与开发
2. 协助完成模型训练与优化⼯作
3. ⽀持产品功能的实现与迭代
任职要求：
1、善于沟通、按时完成上级交给的⼯作
2、拥有良好的团队合作精神，能迅速融入团队
3、具备良好的学习能力，能够不断改进⼯作方法
刘先生
刚刚活跃
深圳中迎祈安科技
·
项目负责人"
AI Agent工程师,法正智能,31-41K,淄博,,本科,·,人事主管,https://www.zhipin.com/job_detail/475059217b5773100nd_2du-GFJQ.html,"1.负责 LLM 智能体（AI Agent）整体架构设计与研发，实现任务规划、记忆管理、工具调用等核心模块。
2.参与 Agent、Skill、工具调⽤、⼯作流、运⾏时等基础能力建设。
3.将业务需求，转化为结构化知识、规则、配置与产品能力。
4.跟进 MCP、Skills、Claude Code 等主流智能体开发⽅案并落地。
5.参与需求梳理、业务抽象与方案设计，协同产品将业务问题转化为可落地系统能力。
6.设计 ReAct、思维链（CoT）等提示词策略，实现多步推理与复杂工作流编排。
任职要求：
本科及以上，计算机 / AI 相关专业，3 年及以上工作经验。
1.精通 Python，代码规范，熟悉 FastAPI/Flask 等 Web 框架。有 Java 或 Python 实际项目开发经验。
2.熟练使用 LangChain / LlamaIndex 等至少一种 Agent 框架，理解底层原理。
3.熟悉大模型 API 调用，精通提示词工程与函数调用（Function Calling）。
4.掌握 RAG 技术，了解向量数据库（Chroma/Milvus/FAISS）。具备模型部署与容器化实践经验。
5.解决 Agent 幻觉、逻辑循环、工具调用失败等实际问题。
6.自驱力强，对 AI 技术敏感，能快速理解业务并做抽象建模。
王女士
刚刚活跃
法正智能
·
人事主管"
AI Agent 开发工程师,开元云,22-28K,淄博,经验不限,本科,"开元云
·
项目经理",BOSS直聘严禁用人单位和招聘者用户做出任何损害求职者合法权益的违法违规行为，包括但不限于扣押求职者证件、收取求职者财物、向求职者集资、让求职者入股、诱导求职者异地入职、异地参加培训、违法违规使用求职者简历等，您一旦发现此类行为， 请立即举报,https://www.zhipin.com/job_detail/cab6d16e8ac2080b03x90ti_FVFV.html,"python
大模型微调
AI大模型
LLM
AI智能体
1. 智能体相关技术研发。
2.设计交互策略，实现客户业务需求，针对业务场景优化智能体。
3.智能体全生命周期维护，参与智能体上线到业务可观测性建设。
任职要求：
1.计算机/人工智能/软件工程相关专业，具备扎实的编程基础，熟练掌握Python等编程语⾔，可两周内到岗。
2.了解⼤语⾔模型的局限性和优化方向。
3.熟悉大模型的微调、量化、提⽰词工程、预训练、RAG增强检索。
4.熟悉主流智能体编排平台，可完成复杂智能体的构建。
5.熟悉智能体上线后的业务可观测性，熟悉常见业务指标，熟悉业务瓶颈优化方法。
加分项：
有实际智能体落地/上线经验；
有高性能算子编写能力；
获得ICPC/CCPC/ISC/SC/ASC/CPC/PAC/Top Coder/Kaggle等算法或高性能计算赛事奖项；
对主流开源项目（分布式存储/容器化/服务治理 ...）有深入了解；
熟悉 LLM 相关技术栈（如LangChain、Dify、MCP、vllm、ollama、etc），关注社区技术进展并有相应实践。
熟悉 LLM 模型原理，有模型部署、推理优化、PostTrain实践经验。
陈女士
刚刚活跃
开元云
·
项目经理"
Java开发（线上面试）,慧博云通,7-21K,淄博,,学历不限,"慧博云通
·
hr",BOSS直聘严禁用人单位和招聘者用户做出任何损害求职者合法权益的违法违规行为，包括但不限于扣押求职者证件、收取求职者财物、向求职者集资、让求职者入股、诱导求职者异地入职、异地参加培训、违法违规使用求职者简历等，您一旦发现此类行为， 请立即举报,https://www.zhipin.com/job_detail/bd14c8d12494c9c70nZ_2NW7GVJT.html,"Java
分布式经验
数据平台
SpringCloud
MySQL
AI
Redis
Spring
Oracle
3年以上，有数据平台、数据治理等相关数据系统研发经验
做过AI-agent、大数据模型等优先
王婷婷
刚刚活跃
慧博云通
·
hr"
PHP开发工程师,舜风传媒,21-26K,淄博,,本科,·,人事,https://www.zhipin.com/job_detail/bcfca4a8d3c196730ndy3tS5EFNX.html,"yii2
PHP开发经验
PHP
MySQL/Redis/MongoDB
计算机相关专业
Cursor
ClaudeCode
AI开发工具
Codex
1.核心业务系统开发：负责公司核心业务系统的后端开发、维护与迭代，基于Laravel/webman/Yii等PHP框架进行高质量代码编写、重构，确保系统⾼可⽤性与稳定性。
2.AI应⽤原型开发：使用Dify等低代码AI平台，快速搭建和配置AIAgent及工作流原型，完成提⽰词设计与调优。
3.定制功能与接口开发：结合Python、PHP技术，开发定制化功能模块、工具插件及API接口，打通巨量引擎、微信开发平台、阿里云、小红书等平台各类接口，增强低代码平台能力，满足特定业务逻辑；同时参与AIAgent系统后端服务开发，包括API接口实现、日志记录、基础监控等。
4.系统集成与部署：协助将开发完成的AI应用集成到现有系统，并支持企业内网本地化部署。
5.技术优化与协作：参与系统性能优化、服务治理、数据库与缓存方案优化；与产品、前端、测试团队协作，推动项目稳定交付。
6.技术调研与文档：跟踪并测试新的AI开发工具与框架，编写清晰的技术文档和测试报告；持续探索和引入新的AI工具与工作流，提高开发效率。
7.前端及相关开发：具备基本的前端开发能力（HTML/CSS/JS），熟练使用Vue或React框架，独立完成简单的管理后台页面或工具界面开发；负责微信小程序开发及可视化看板数据大屏搭建，确保界面美观、功能可用。
岗位要求：
1.学历专业：计算机、软件工程、人工智能等相关专业本科及以上学历，或具备同等技术能力的证明；5年及以上php后端开发经验。
2.编程技术：熟练掌握Python、PHP编程；具备Python爬虫技术能力，有使用FastAPI或Flask等框架进行简单后端开发的经验；PHP基础扎实，精通面向对象编程，熟悉常用设计模式，具备良好的代码规范。
3.框架与工具：深入掌握Laravel、webman、yii2框架原理，熟悉其他高性能PHP框架；熟悉或能快速上手Dify、Coze等至少一款低代码/AI应用平台；熟练使用ClaudeCode/Codex/Cursor等CodingAgent，能使用AICoding工具完成从需求到上线的端到端开发，熟练利用AI完成代码生成、调试、发布、重构工作。
4.数据库与运维：精通MySQL数据库设计与优化，熟练使用Redis等缓存技术，具备处理高并发、大数据量场景的经验；熟悉Linux环境下的开发与运维，具备优秀的线上问题排查与解决能力。
5.核心素质：具备优秀的学习能力、逻辑思维和解决问题的能力，良好的沟通能力和团队协作精神；强学习能力、强执行力、强自驱力，能高效完成指定开发任务，可独立负责复杂业务模块。
6.项目经验：有AI产品的开发经历者优先
苏女士
刚刚活跃
舜风传媒
·
人事"
